title,link,watched
Урок 70. Виды равновесия. Условие равновесия тела при отсутствии вращения.,https://www.youtube.com/watch?v=d348jsnU5i8&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=73,Yes
Урок 71. Простейшие задачи на правило сил,https://www.youtube.com/watch?v=cJyjhKxAL00&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=74,Yes
Урок 72. Задачи на правило сил,https://www.youtube.com/watch?v=3ApgcyBkVM4&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=75,Yes
Урок 73. Усложненные задачи на правило сил,https://www.youtube.com/watch?v=kW09icZFsNQ&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=76,Yes
Урок 74. Равновесие тела с закрепленной осью вращения,https://www.youtube.com/watch?v=purUB9N72ig&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=77,Yes
Урок 75. Следствия из условий равновесия тела,https://www.youtube.com/watch?v=EYPJObSgRvw&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=78,Yes
Урок 76. Задачи на правило моментов,https://www.youtube.com/watch?v=b4WPOPewBdk&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=79,Yes
Урок 77. Решение задач статики (часть 1),https://www.youtube.com/watch?v=06XpQMr3wio&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=80,Yes
Урок 78. Решение задач статики (часть 2),https://www.youtube.com/watch?v=Ghr3E8ngq-g&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=81,Yes
Урок 79. Центр масс тела и методы определения его положения,https://www.youtube.com/watch?v=6OyCV7jodYA&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=82,Yes
Урок 80. Определение положения центра масс тела,https://www.youtube.com/watch?v=vV_LbiTiZlM&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=83,Yes
Урок 81. Устойчивость тел в присутствии силы тяжести,https://www.youtube.com/watch?v=BD_-qrhXH5k&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=84,Yes
Урок 82. Равнодействующая параллельных сил. Пара сил,https://www.youtube.com/watch?v=Cm0H1xr7mlw&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=85,Yes
Урок 83. Комбинированные задачи статики,https://www.youtube.com/watch?v=x4A7VBWSnpM&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=86,Yes
Урок 84. Теорема о движении центра масс,https://www.youtube.com/watch?v=Hce7KnLjRtk&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=87,Yes
Урок 85. Движение связанных тел (ч.1),https://www.youtube.com/watch?v=YkN_dFvKC7g&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=88,Yes
Урок 86. Движение связанных тел (ч.2),https://www.youtube.com/watch?v=aV7DaVkgCwM&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=89,Yes
Урок 87. Движение по наклонной плоскости (ч.1),https://www.youtube.com/watch?v=1fxLQ-YtkeA&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=90,Yes
Урок 88. Движение по наклонной плоскости (ч.2),https://www.youtube.com/watch?v=y7MdWlL5ho4&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=91,Yes
Урок 89. Движение по окружности (ч.1),https://www.youtube.com/watch?v=sXIRs9tlj0s&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=92,Yes
Урок 90. Движение по окружности (ч.2),https://www.youtube.com/watch?v=az1K1oWOeC8&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=93,Yes
Урок 91. Комбинированные задачи динамики (ч.1),https://www.youtube.com/watch?v=i44MdkFoyjM&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=94,Yes
Урок 92. Комбинированные задачи динамики (ч.2),https://www.youtube.com/watch?v=QtksGWXOTkk&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=95,Yes
Урок 93. Основное уравнение динамики вращательного движения,https://www.youtube.com/watch?v=HZzchORFgNE&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=96,Yes
Урок 94. Вычисление моментов инерции тел,https://www.youtube.com/watch?v=RY4xL_1I6m0&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=97,Yes
Урок 95. Теорема о взаимно перпендикулярных осях,https://www.youtube.com/watch?v=2sS2dLsYuzM&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=98,Yes
Урок 96. Простейшие задачи на вращение твердого тела,https://www.youtube.com/watch?v=OS1vP2ybw4I&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=99,Yes
Урок 97. Теорема Штейнера,https://www.youtube.com/watch?v=dck0WkE16pg&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=100,Yes
Урок 98. Задачи на вычисление моментов инерции (ч.1),https://www.youtube.com/watch?v=xRlvq1PAu2w&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=101,Yes
Урок 99. Задачи на вычисление моментов инерции (ч.2),https://www.youtube.com/watch?v=dYQsdPWnEXo&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=102,Yes
Урок 100. Задачи на вращение твердого тела (ч.1),https://www.youtube.com/watch?v=NwZc_X7-lng&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=103,Yes
Урок 101. Скатывание тела с наклонной плоскости,https://www.youtube.com/watch?v=tFypPlkUMdU&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=104,Yes
Урок 102. Метод мгновенных осей,https://www.youtube.com/watch?v=j4vhh5L90WU&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=105,Yes
Урок 103. Задачи на вращение твердого тела (ч.2),https://www.youtube.com/watch?v=MIz8dsjAlCQ&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=106,Yes
Урок 104. Импульс. Закон сохранения импульса,https://www.youtube.com/watch?v=Ev68eLx6RWA&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=107,Yes
Урок 105. Границы применимости ЗСИ,https://www.youtube.com/watch?v=-XPUqhgOVJU&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=108,Yes
Урок 106. Реактивное движение,https://www.youtube.com/watch?v=MM_72FXE7oA&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=109,Yes
Урок 107. Задачи на закон сохранения импульса (ч.1),https://www.youtube.com/watch?v=nB2XpQ2o_C4&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=110,Yes
Урок 108. Задачи на закон сохранения импульса (ч.2),https://www.youtube.com/watch?v=PE1_PilfBnc&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=111,Yes
Урок 109. Момент импульса. Закон сохранения момента импульса,https://www.youtube.com/watch?v=2Akxzq_fe1E&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=112,Yes
Урок 110. Следствия из закона сохранения момента импульса,https://www.youtube.com/watch?v=jVstXUpyOrU&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=113,Yes
